well_no,SampleID,Well,SMILES,canonSMILES,SMarea,SMareaAbs,Parea,PareaAbs,STDarea,STDareaAbs,Uarea,UareaAbs,corrSMarea,corrParea,corrSTDarea,P/SM+P,P/STD,corrP/SM+P,corrP/STD
1,SOCS2A-478-RP3573-0,A1,Cc1cc(-c2ccc(O)cc2C)n[nH]1,Cc1cc(-c2ccc(O)cc2C)n[nH]1,0,0,8.62,130077.0,0,0,91.38,1379654.0,0,1.0,0,1.0,0,1.0,0
2,SOCS2A-478-RP3573-8,A2,Cc1cc(-c2ccc(C(F)(F)F)cc2C)n[nH]1,Cc1cc(-c2ccc(C(F)(F)F)cc2C)n[nH]1,0,0,0.0,0.0,0,0,100.0,3447.0,0,0.0,0,0.0,0,0.0,0
3,SOCS2A-478-RP3573-16,A3,Cc1cc(-c2ccoc2)n[nH]1,Cc1cc(-c2ccoc2)n[nH]1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
4,No Data.,A4,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
5,No Data.,A5,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
6,No Data.,A6,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
7,No Data.,A7,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
8,No Data.,A8,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
9,No Data.,A9,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
10,No Data.,A10,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
11,No Data.,A11,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
12,No Data.,A12,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
13,SOCS2A-478-RP3573-1,B1,Cc1cc(-c2ccccc2C)n[nH]1,Cc1cc(-c2ccccc2C)n[nH]1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
14,SOCS2A-478-RP3573-9,B2,Cc1cc(-c2ccc(C(F)(F)F)cc2F)n[nH]1,Cc1cc(-c2ccc(C(F)(F)F)cc2F)n[nH]1,0,0,37.09,608545.0,0,0,62.91,1032215.0,0,1.0,0,1.0,0,1.0,0
15,No Data.,B3,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
16,No Data.,B4,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
17,No Data.,B5,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
18,No Data.,B6,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
19,No Data.,B7,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
20,No Data.,B8,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
21,No Data.,B9,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
22,No Data.,B10,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
23,No Data.,B11,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
24,No Data.,B12,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
25,SOCS2A-478-RP3573-2,C1,COc1ccccc1-c1cc(C)[nH]n1,COc1ccccc1-c1cc(C)[nH]n1,0,0,30.63,569637.0,0,0,69.37,1290081.0,0,1.0,0,1.0,0,1.0,0
26,SOCS2A-478-RP3573-10,C2,Cc1cc(-c2cc(CO)ccc2Cl)n[nH]1,Cc1cc(-c2cc(CO)ccc2Cl)n[nH]1,0,0,17.89,323588.0,0,0,82.11,1484729.0,0,1.0,0,1.0,0,1.0,0
27,No Data.,C3,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
