well_ID,Reaction_ID,analyte_smiles,analyte_class,data_entry,data_type,data_units,data_description
A1,SOCS2A-478-RP3573-0,Cc1cc(-c2ccc(O)cc2C)n[nH]1,desired product,1.158,Retention Time,min,Time at which compound elutes
A1,SOCS2A-478-RP3573-0,Cc1cc(-c2ccc(O)cc2C)n[nH]1,desired product,189.0,ES+,Da/Q,Positive m/z
A1,SOCS2A-478-RP3573-0,Cc1cc(-c2ccc(O)cc2C)n[nH]1,desired product,-,ES-,Da/Q,Negative m/z
A1,SOCS2A-478-RP3573-0,Cc1cc(-c2ccc(O)cc2C)n[nH]1,desired product,8.616,Percentage Area,%,LCMS UV Peak percentage area
A1,SOCS2A-478-RP3573-0,Cc1cc(-c2ccc(O)cc2C)n[nH]1,desired product,130077.0,Area Absolute,AU,LCMS UV Peak absolute area
A1,SOCS2A-478-RP3573-0,Impurity1,impurity,1.475,Retention Time,min,Time at which compound elutes
A1,SOCS2A-478-RP3573-0,Impurity1,impurity,0,ES+,Da/Q,Positive m/z
A1,SOCS2A-478-RP3573-0,Impurity1,impurity,0,ES-,Da/Q,Negative m/z
A1,SOCS2A-478-RP3573-0,Impurity1,impurity,0.397,Percentage Area,%,LCMS UV Peak percentage area
A1,SOCS2A-478-RP3573-0,Impurity1,impurity,6001.0,Area Absolute,AU,LCMS UV Peak absolute area
A1,SOCS2A-478-RP3573-0,Impurity2,impurity,1.564,Retention Time,min,Time at which compound elutes
A1,SOCS2A-478-RP3573-0,Impurity2,impurity,0,ES+,Da/Q,Positive m/z
A1,SOCS2A-478-RP3573-0,Impurity2,impurity,0,ES-,Da/Q,Negative m/z
A1,SOCS2A-478-RP3573-0,Impurity2,impurity,1.31,Percentage Area,%,LCMS UV Peak percentage area
A1,SOCS2A-478-RP3573-0,Impurity2,impurity,19778.0,Area Absolute,AU,LCMS UV Peak absolute area
A1,SOCS2A-478-RP3573-0,Impurity3,impurity,1.703,Retention Time,min,Time at which compound elutes
A1,SOCS2A-478-RP3573-0,Impurity3,impurity,0,ES+,Da/Q,Positive m/z
A1,SOCS2A-478-RP3573-0,Impurity3,impurity,0,ES-,Da/Q,Negative m/z
A1,SOCS2A-478-RP3573-0,Impurity3,impurity,0.544,Percentage Area,%,LCMS UV Peak percentage area
A1,SOCS2A-478-RP3573-0,Impurity3,impurity,8206.0,Area Absolute,AU,LCMS UV Peak absolute area
A1,SOCS2A-478-RP3573-0,Impurity4,impurity,1.748,Retention Time,min,Time at which compound elutes
A1,SOCS2A-478-RP3573-0,Impurity4,impurity,0,ES+,Da/Q,Positive m/z
A1,SOCS2A-478-RP3573-0,Impurity4,impurity,0,ES-,Da/Q,Negative m/z
A1,SOCS2A-478-RP3573-0,Impurity4,impurity,25.867,Percentage Area,%,LCMS UV Peak percentage area
A1,SOCS2A-478-RP3573-0,Impurity4,impurity,390515.0,Area Absolute,AU,LCMS UV Peak absolute area
A1,SOCS2A-478-RP3573-0,Impurity6,impurity,2.135,Retention Time,min,Time at which compound elutes
A1,SOCS2A-478-RP3573-0,Impurity6,impurity,0,ES+,Da/Q,Positive m/z
A1,SOCS2A-478-RP3573-0,Impurity6,impurity,0,ES-,Da/Q,Negative m/z
A1,SOCS2A-478-RP3573-0,Impurity6,impurity,54.59,Percentage Area,%,LCMS UV Peak percentage area
A1,SOCS2A-478-RP3573-0,Impurity6,impurity,824164.0,Area Absolute,AU,LCMS UV Peak absolute area
A1,SOCS2A-478-RP3573-0,Impurity7,impurity,2.238,Retention Time,min,Time at which compound elutes
A1,SOCS2A-478-RP3573-0,Impurity7,impurity,0,ES+,Da/Q,Positive m/z
A1,SOCS2A-478-RP3573-0,Impurity7,impurity,0,ES-,Da/Q,Negative m/z
A1,SOCS2A-478-RP3573-0,Impurity7,impurity,0.158,Percentage Area,%,LCMS UV Peak percentage area
A1,SOCS2A-478-RP3573-0,Impurity7,impurity,2388.0,Area Absolute,AU,LCMS UV Peak absolute area
A1,SOCS2A-478-RP3573-0,Impurity8,impurity,2.58,Retention Time,min,Time at which compound elutes
A1,SOCS2A-478-RP3573-0,Impurity8,impurity,0,ES+,Da/Q,Positive m/z
A1,SOCS2A-478-RP3573-0,Impurity8,impurity,0,ES-,Da/Q,Negative m/z
A1,SOCS2A-478-RP3573-0,Impurity8,impurity,2.406,Percentage Area,%,LCMS UV Peak percentage area
A1,SOCS2A-478-RP3573-0,Impurity8,impurity,36326.0,Area Absolute,AU,LCMS UV Peak absolute area
A2,SOCS2A-478-RP3573-8,Cc1cc(-c2ccc(C(F)(F)F)cc2C)n[nH]1,desired product,0,Retention Time,min,Time at which compound elutes
A2,SOCS2A-478-RP3573-8,Cc1cc(-c2ccc(C(F)(F)F)cc2C)n[nH]1,desired product,0,ES+,Da/Q,Positive m/z
A2,SOCS2A-478-RP3573-8,Cc1cc(-c2ccc(C(F)(F)F)cc2C)n[nH]1,desired product,0,ES-,Da/Q,Negative m/z
A2,SOCS2A-478-RP3573-8,Cc1cc(-c2ccc(C(F)(F)F)cc2C)n[nH]1,desired product,0,Percentage Area,%,LCMS UV Peak percentage area
A2,SOCS2A-478-RP3573-8,Cc1cc(-c2ccc(C(F)(F)F)cc2C)n[nH]1,desired product,0,Area Absolute,AU,LCMS UV Peak absolute area
A2,SOCS2A-478-RP3573-8,Impurity3,impurity,1.679,Retention Time,min,Time at which compound elutes
A2,SOCS2A-478-RP3573-8,Impurity3,impurity,0,ES+,Da/Q,Positive m/z
A2,SOCS2A-478-RP3573-8,Impurity3,impurity,0,ES-,Da/Q,Negative m/z
A2,SOCS2A-478-RP3573-8,Impurity3,impurity,100.0,Percentage Area,%,LCMS UV Peak percentage area
A2,SOCS2A-478-RP3573-8,Impurity3,impurity,3447.0,Area Absolute,AU,LCMS UV Peak absolute area
A3,SOCS2A-478-RP3573-16,Cc1cc(-c2ccoc2)n[nH]1,desired product,0,Retention Time,min,Time at which compound elutes
A3,SOCS2A-478-RP3573-16,Cc1cc(-c2ccoc2)n[nH]1,desired product,0,ES+,Da/Q,Positive m/z
A3,SOCS2A-478-RP3573-16,Cc1cc(-c2ccoc2)n[nH]1,desired product,0,ES-,Da/Q,Negative m/z
A3,SOCS2A-478-RP3573-16,Cc1cc(-c2ccoc2)n[nH]1,desired product,0,Percentage Area,%,LCMS UV Peak percentage area
A3,SOCS2A-478-RP3573-16,Cc1cc(-c2ccoc2)n[nH]1,desired product,0,Area Absolute,AU,LCMS UV Peak absolute area
B1,SOCS2A-478-RP3573-1,Cc1cc(-c2ccccc2C)n[nH]1,desired product,0,Retention Time,min,Time at which compound elutes
B1,SOCS2A-478-RP3573-1,Cc1cc(-c2ccccc2C)n[nH]1,desired product,0,ES+,Da/Q,Positive m/z
B1,SOCS2A-478-RP3573-1,Cc1cc(-c2ccccc2C)n[nH]1,desired product,0,ES-,Da/Q,Negative m/z
B1,SOCS2A-478-RP3573-1,Cc1cc(-c2ccccc2C)n[nH]1,desired product,0,Percentage Area,%,LCMS UV Peak percentage area
B1,SOCS2A-478-RP3573-1,Cc1cc(-c2ccccc2C)n[nH]1,desired product,0,Area Absolute,AU,LCMS UV Peak absolute area
B2,SOCS2A-478-RP3573-9,Cc1cc(-c2ccc(C(F)(F)F)cc2F)n[nH]1,desired product,1.75,Retention Time,min,Time at which compound elutes
B2,SOCS2A-478-RP3573-9,Cc1cc(-c2ccc(C(F)(F)F)cc2F)n[nH]1,desired product,244.95,ES+,Da/Q,Positive m/z
B2,SOCS2A-478-RP3573-9,Cc1cc(-c2ccc(C(F)(F)F)cc2F)n[nH]1,desired product,242.9,ES-,Da/Q,Negative m/z
B2,SOCS2A-478-RP3573-9,Cc1cc(-c2ccc(C(F)(F)F)cc2F)n[nH]1,desired product,37.089,Percentage Area,%,LCMS UV Peak percentage area
B2,SOCS2A-478-RP3573-9,Cc1cc(-c2ccc(C(F)(F)F)cc2F)n[nH]1,desired product,608545.0,Area Absolute,AU,LCMS UV Peak absolute area
B2,SOCS2A-478-RP3573-9,Impurity0,impurity,1.169,Retention Time,min,Time at which compound elutes
B2,SOCS2A-478-RP3573-9,Impurity0,impurity,0,ES+,Da/Q,Positive m/z
B2,SOCS2A-478-RP3573-9,Impurity0,impurity,0,ES-,Da/Q,Negative m/z
B2,SOCS2A-478-RP3573-9,Impurity0,impurity,0.424,Percentage Area,%,LCMS UV Peak percentage area
B2,SOCS2A-478-RP3573-9,Impurity0,impurity,6949.0,Area Absolute,AU,LCMS UV Peak absolute area
B2,SOCS2A-478-RP3573-9,Impurity1,impurity,1.479,Retention Time,min,Time at which compound elutes
B2,SOCS2A-478-RP3573-9,Impurity1,impurity,0,ES+,Da/Q,Positive m/z
B2,SOCS2A-478-RP3573-9,Impurity1,impurity,0,ES-,Da/Q,Negative m/z
B2,SOCS2A-478-RP3573-9,Impurity1,impurity,0.205,Percentage Area,%,LCMS UV Peak percentage area
B2,SOCS2A-478-RP3573-9,Impurity1,impurity,3358.0,Area Absolute,AU,LCMS UV Peak absolute area
B2,SOCS2A-478-RP3573-9,Impurity2,impurity,1.56,Retention Time,min,Time at which compound elutes
B2,SOCS2A-478-RP3573-9,Impurity2,impurity,0,ES+,Da/Q,Positive m/z
B2,SOCS2A-478-RP3573-9,Impurity2,impurity,0,ES-,Da/Q,Negative m/z
B2,SOCS2A-478-RP3573-9,Impurity2,impurity,0.193,Percentage Area,%,LCMS UV Peak percentage area
B2,SOCS2A-478-RP3573-9,Impurity2,impurity,3167.0,Area Absolute,AU,LCMS UV Peak absolute area
B2,SOCS2A-478-RP3573-9,Impurity3,impurity,1.703,Retention Time,min,Time at which compound elutes
B2,SOCS2A-478-RP3573-9,Impurity3,impurity,0,ES+,Da/Q,Positive m/z
B2,SOCS2A-478-RP3573-9,Impurity3,impurity,0,ES-,Da/Q,Negative m/z
B2,SOCS2A-478-RP3573-9,Impurity3,impurity,0.195,Percentage Area,%,LCMS UV Peak percentage area
B2,SOCS2A-478-RP3573-9,Impurity3,impurity,3195.0,Area Absolute,AU,LCMS UV Peak absolute area
B2,SOCS2A-478-RP3573-9,Impurity6,impurity,2.138,Retention Time,min,Time at which compound elutes
B2,SOCS2A-478-RP3573-9,Impurity6,impurity,0,ES+,Da/Q,Positive m/z
B2,SOCS2A-478-RP3573-9,Impurity6,impurity,0,ES-,Da/Q,Negative m/z
B2,SOCS2A-478-RP3573-9,Impurity6,impurity,49.789,Percentage Area,%,LCMS UV Peak percentage area
B2,SOCS2A-478-RP3573-9,Impurity6,impurity,816918.0,Area Absolute,AU,LCMS UV Peak absolute area
B2,SOCS2A-478-RP3573-9,Impurity7,impurity,2.24,Retention Time,min,Time at which compound elutes
B2,SOCS2A-478-RP3573-9,Impurity7,impurity,0,ES+,Da/Q,Positive m/z
B2,SOCS2A-478-RP3573-9,Impurity7,impurity,0,ES-,Da/Q,Negative m/z
B2,SOCS2A-478-RP3573-9,Impurity7,impurity,0.408,Percentage Area,%,LCMS UV Peak percentage area
B2,SOCS2A-478-RP3573-9,Impurity7,impurity,6694.0,Area Absolute,AU,LCMS UV Peak absolute area
B2,SOCS2A-478-RP3573-9,Impurity8,impurity,2.582,Retention Time,min,Time at which compound elutes
B2,SOCS2A-478-RP3573-9,Impurity8,impurity,0,ES+,Da/Q,Positive m/z
B2,SOCS2A-478-RP3573-9,Impurity8,impurity,0,ES-,Da/Q,Negative m/z
B2,SOCS2A-478-RP3573-9,Impurity8,impurity,0.475,Percentage Area,%,LCMS UV Peak percentage area
B2,SOCS2A-478-RP3573-9,Impurity8,impurity,7788.0,Area Absolute,AU,LCMS UV Peak absolute area
C1,SOCS2A-478-RP3573-2,COc1ccccc1-c1cc(C)[nH]n1,desired product,1.365,Retention Time,min,Time at which compound elutes
C1,SOCS2A-478-RP3573-2,COc1ccccc1-c1cc(C)[nH]n1,desired product,189.0,ES+,Da/Q,Positive m/z
C1,SOCS2A-478-RP3573-2,COc1ccccc1-c1cc(C)[nH]n1,desired product,-,ES-,Da/Q,Negative m/z
C1,SOCS2A-478-RP3573-2,COc1ccccc1-c1cc(C)[nH]n1,desired product,30.63,Percentage Area,%,LCMS UV Peak percentage area
C1,SOCS2A-478-RP3573-2,COc1ccccc1-c1cc(C)[nH]n1,desired product,569637.0,Area Absolute,AU,LCMS UV Peak absolute area
C1,SOCS2A-478-RP3573-2,Impurity0,impurity,1.175,Retention Time,min,Time at which compound elutes
C1,SOCS2A-478-RP3573-2,Impurity0,impurity,0,ES+,Da/Q,Positive m/z
C1,SOCS2A-478-RP3573-2,Impurity0,impurity,0,ES-,Da/Q,Negative m/z
C1,SOCS2A-478-RP3573-2,Impurity0,impurity,1.313,Percentage Area,%,LCMS UV Peak percentage area
C1,SOCS2A-478-RP3573-2,Impurity0,impurity,24423.0,Area Absolute,AU,LCMS UV Peak absolute area
C1,SOCS2A-478-RP3573-2,Impurity1,impurity,1.476,Retention Time,min,Time at which compound elutes
C1,SOCS2A-478-RP3573-2,Impurity1,impurity,0,ES+,Da/Q,Positive m/z
C1,SOCS2A-478-RP3573-2,Impurity1,impurity,0,ES-,Da/Q,Negative m/z
C1,SOCS2A-478-RP3573-2,Impurity1,impurity,0.228,Percentage Area,%,LCMS UV Peak percentage area
C1,SOCS2A-478-RP3573-2,Impurity1,impurity,4236.0,Area Absolute,AU,LCMS UV Peak absolute area
C1,SOCS2A-478-RP3573-2,Impurity2,impurity,1.564,Retention Time,min,Time at which compound elutes
C1,SOCS2A-478-RP3573-2,Impurity2,impurity,0,ES+,Da/Q,Positive m/z
C1,SOCS2A-478-RP3573-2,Impurity2,impurity,0,ES-,Da/Q,Negative m/z
C1,SOCS2A-478-RP3573-2,Impurity2,impurity,0.114,Percentage Area,%,LCMS UV Peak percentage area
