name,canonSMILES,mass1,mass2,mass3,time,mass-,mass+,best_well,best_purity,overlaps,conflicts
Product1,Brc1ccc(Br)c2ncccc12,284.88,286.88,0.0,1.1763,-,287.86,B8,95.95,No peak overlap detected.,No potential conflicts found.
Product2,Brc1ccc2cccc(Br)c2n1,284.88,286.88,0.0,1.2246,-,287.84,A5,97.78,No peak overlap detected.,No potential conflicts found.
Product3,Brc1cccnc1N1CCOCC1,242.01,244.01,0.0,0.9542,-,245.05,B9,100.0,No peak overlap detected.,No potential conflicts found.
Product4,Brc1cnc2ccccc2c1,206.97,208.97,0.0,1.0654,-,208.0,B4,100.0,No peak overlap detected.,No potential conflicts found.
Product5,CC(C)(C)OC(=O)N1CCN(C(=O)OCC2c3ccccc3-c3ccccc32)CC1C(=O)O,452.19,396.13,352.14,0.9017,-,397.23,B5,98.59,No peak overlap detected.,No potential conflicts found.
Product6,CC(C)(C)OC(=O)N1CCN(c2ccc(Br)cn2)CC1,341.07,285.01,241.02,1.3217,-,342.09,B1,96.22,No peak overlap detected.,No potential conflicts found.
Product7,CC(C)(C)OC(=O)N1CCN(c2ccnc(Cl)n2)CC1,298.12,242.06,198.07,1.2758,-,299.12,B6,7.13,No peak overlap detected.,No potential conflicts found.
Product8,CC(C)(C)OC(=O)N1CCN(c2ccnc3[nH]ccc23)CC1,302.17,246.11,202.12,1.0396,-,303.19,B2,98.92,No peak overlap detected.,No potential conflicts found.
Product9,CC(C)(C)OC(=O)N1CCN(c2ncc(Br)cn2)CC1,342.07,286.01,242.02,1.3221,-,287.0,B3,100.0,No peak overlap detected.,No potential conflicts found.
Product10,CCc1ccc2cc(C(=O)O)cnc2c1,201.08,0.0,0.0,0.5863,200.21,202.13,A3,100.0,No peak overlap detected.,No potential conflicts found.
Product11,CN1CCN(c2ccc(Br)cn2)CC1,255.04,257.04,0.0,1.015,-,258.09,B12,98.33,No peak overlap detected.,No potential conflicts found.
Product12,CN1CCN(c2ccnc3ccc(N)cc23)CC1,242.15,0.0,0.0,0.6729,-,243.23,A10,98.76,No peak overlap detected.,No potential conflicts found.
Product13,COc1ccc2cc(Br)ccc2n1,236.98,238.98,0.0,1.2958,-,240.05,A2,98.93,No peak overlap detected.,No potential conflicts found.
Product14,Cc1cc(C)c2ccc(C(=O)O)cc2n1,201.08,0.0,0.0,0.5483,200.05,202.16,A4,98.21,No peak overlap detected.,No potential conflicts found.
Product15,Cc1cc(N2CCNCC2)ncc1Br,255.04,257.04,0.0,0.99,-,258.08,B7,100.0,No peak overlap detected.,No potential conflicts found.
Product16,Clc1ccc2ccc(Br)cc2n1,240.93,242.93,0.0,1.23,-,243.94,A1,100.0,No peak overlap detected.,No potential conflicts found.
Product17,Clc1ccnc2ccc(Br)cc12,240.93,242.93,0.0,1.2284,-,243.97,A7,100.0,No peak overlap detected.,No potential conflicts found.
Product18,FC(F)(F)c1ccc2cccc(Br)c2n1,274.96,276.96,0.0,1.2642,-,277.95,A11,100.0,No peak overlap detected.,No potential conflicts found.
Product19,Ic1ccc2ncccc2c1,254.95,0.0,0.0,1.0684,-,255.98,A12,100.0,No peak overlap detected.,No potential conflicts found.
Product20,N#Cc1ccc2cc(Br)ccc2n1,231.96,233.96,0.0,1.1142,-,232.93,A6,100.0,No peak overlap detected.,No potential conflicts found.
Product21,O=C(Nc1ccc2ncccc2c1)Nc1ccc2ncccc2c1,314.12,0.0,0.0,0.8667,313.22,315.14,B10,100.0,No peak overlap detected.,No potential conflicts found.
Product22,O=C(O)c1cc(C(F)(F)F)cnc1Cl,224.98,226.98,0.0,0.4296,224.1,-,B11,100.0,No peak overlap detected.,No potential conflicts found.
Product23,Oc1cc(OCc2ccccc2)c2ccccc2n1,251.09,0.0,0.0,1.0309,250.18,252.16,A9,95.08,No peak overlap detected.,No potential conflicts found.
Product24,c1ccc2nc(-c3cn[nH]c3)ccc2c1,195.08,0.0,0.0,0.8229,194.13,196.14,A8,100.0,No peak overlap detected.,No potential conflicts found.
