well_no,Well,canonSMILES,SMarea,SMareaAbs,Parea,PareaAbs,STDarea,STDareaAbs,Uarea,UareaAbs,corrSMarea,corrParea,corrSTDarea,P/SM+P,P/STD,corrP/STD,corrP/SM+P,SampleID
1,A1,Clc1ccc2ccc(Br)cc2n1,0,0,100.0,1071910.25,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-1-1
2,A2,COc1ccc2cc(Br)ccc2n1,0,0,98.93,1001665.25,0,0,1.0699999999999932,10852.402299999958,0,1.0,0,1.0,0,0,1.0,ELP11455-2-1
3,A3,CCc1ccc2cc(C(=O)O)cnc2c1,0,0,100.0,1190068.25,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-3-1
4,A4,Cc1cc(C)c2ccc(C(=O)O)cc2n1,0,0,98.21,1185494.75,0,0,1.7900000000000063,21563.980500000063,0,1.0,0,1.0,0,0,1.0,ELP11455-4-1
5,A5,Brc1ccc2cccc(Br)c2n1,0,0,97.78,655394.8125,0,0,2.219999999999999,14863.700199999963,0,1.0,0,1.0,0,0,1.0,ELP11455-5-1
6,A6,N#Cc1ccc2cc(Br)ccc2n1,0,0,100.0,1121448.0,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-6-1
7,A7,Clc1ccnc2ccc(Br)cc12,0,0,100.0,931249.75,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-7-1
8,A8,c1ccc2nc(-c3cn[nH]c3)ccc2c1,0,0,100.0,1576147.125,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-8-1
9,A9,Oc1cc(OCc2ccccc2)c2ccccc2n1,0,0,95.08,1298820.375,0,0,4.920000000000002,67185.04689999996,0,1.0,0,1.0,0,0,1.0,ELP11455-9-1
10,A10,CN1CCN(c2ccnc3ccc(N)cc23)CC1,0,0,98.76,859220.5625,0,0,1.2399999999999949,10812.584000000032,0,1.0,0,1.0,0,0,1.0,ELP11455-10-1
11,A11,FC(F)(F)c1ccc2cccc(Br)c2n1,0,0,100.0,665108.125,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-11-1
12,A12,Ic1ccc2ncccc2c1,0,0,100.0,974704.4375,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-12-1
13,B1,CC(C)(C)OC(=O)N1CCN(c2ccc(Br)cn2)CC1,0,0,96.22,366601.0938,0,0,3.780000000000001,14387.627900000021,0,1.0,0,1.0,0,0,1.0,ELP11455-13-1
14,B2,CC(C)(C)OC(=O)N1CCN(c2ccnc3[nH]ccc23)CC1,0,0,98.92,598812.3125,0,0,1.0799999999999983,6566.332500000019,0,1.0,0,1.0,0,0,1.0,ELP11455-14-1
15,B3,CC(C)(C)OC(=O)N1CCN(c2ncc(Br)cn2)CC1,0,0,100.0,459542.7813,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-15-1
16,B4,Brc1cnc2ccccc2c1,0,0,100.0,1037110.0625,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-16-1
17,B5,CC(C)(C)OC(=O)N1CCN(C(=O)OCC2c3ccccc3-c3ccccc32)CC1C(=O)O,0,0,98.59,406852.875,0,0,1.4099999999999966,5828.735400000005,0,1.0,0,1.0,0,0,1.0,ELP11455-17-1
18,B6,CC(C)(C)OC(=O)N1CCN(c2ccnc(Cl)n2)CC1,0,0,7.13,29122.3867,0,0,92.87,379066.4063,0,1.0,0,1.0,0,0,1.0,ELP11455-18-1
19,B7,Cc1cc(N2CCNCC2)ncc1Br,0,0,100.0,439308.1563,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-19-1
20,B8,Brc1ccc(Br)c2ncccc12,0,0,95.95,699715.25,0,0,4.049999999999997,29553.04099999997,0,1.0,0,1.0,0,0,1.0,ELP11455-20-1
21,B9,Brc1cccnc1N1CCOCC1,0,0,100.0,395956.5313,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-21-1
22,B10,O=C(Nc1ccc2ncccc2c1)Nc1ccc2ncccc2c1,0,0,100.0,1214742.25,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-22-1
23,B11,O=C(O)c1cc(C(F)(F)F)cnc1Cl,0,0,100.0,222814.2031,0,0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,ELP11455-23-1
