name,canonSMILES,mass1,mass2,mass3,time,mass-,mass+,best_well,best_purity,overlaps,conflicts
Product1,OCc1coc(-c2cnc3ccccc3c2)n1,226.07,0.0,0,0.7107,225.17,227.26,D6,70.51,No peak overlap detected.,<strong>The compound was found to have a similar retention time as Impurity4. The user should check this result manually.</strong>
Reactant1,Brc1cnc2ccccc2c1,206.97,208.97,0,1.0428,-,208.11,C10,61.89,No peak overlap detected.,<strong>The compound was found to have a similar retention time as Impurity9. The user should check this result manually.</strong>
Dibenzylaniline,c1ccc(CN(Cc2ccccc2)c2ccccc2)cc1,273.15,0.0,0,1.4873,-,274.27,D10,23.31,No peak overlap detected.,No potential conflicts found.
phenol bp,Oc1cnc2ccccc2c1,145.05,0.0,0,0.4794,144.01,146.13,A5,25.42,No peak overlap detected.,No potential conflicts found.
Impurity0,,0.0,0.0,0,0.3677,"[118.65, 121.41, 151.02, 155.03, 166.15]","[231.28, 280.27, 252.19, 243.19, 120.16]",A3,7.33,No peak overlap detected.,No potential conflicts found.
Impurity1,,0.0,0.0,0,0.4144,"[155.03, 172.07, 213.26, 214.76, 217.41]","[127.24, 174.15, 179.5, 221.17, 231.27]",B2,8.97,No peak overlap detected.,No potential conflicts found.
Impurity2,,0.0,0.0,0,0.5194,"[148.11, 219.14, 246.62, 280.84, 322.22]","[114.09, 121.13, 195.16, 196.28, 212.2]",B3,7.26,No peak overlap detected.,No potential conflicts found.
Impurity3,,0.0,0.0,0,0.5757,"[118.08, 191.21, 197.0, 198.27, 205.33]","[214.24, 173.2, 174.25, 173.19, 122.09]",B6,3.1,No peak overlap detected.,No potential conflicts found.
Impurity4,,0.0,0.0,0,0.7132,"[195.04, 212.2, 213.29, 359.54, 711.33]","[220.27, 301.28, 303.25, 304.29, 402.29]",D2,55.74,<strong>Peak overlap detected!</strong>,<strong>The compound was found to have a similar retention time as Product1. The user should check this result manually.</strong>
Impurity5,,0.0,0.0,0,0.7869,"[173.15, 206.39, 346.54, 567.61, 569.66]","[225.21, 227.24, 313.2, 130.1, 211.27]",A1,70.55,No peak overlap detected.,No potential conflicts found.
Impurity6,,0.0,0.0,0,0.8215,"[318.67, 417.15, 468.15, 469.04, 498.49]","[227.24, 228.25, 228.26, 228.24, 256.24]",B9,52.94,No peak overlap detected.,No potential conflicts found.
Impurity7,,0.0,0.0,0,0.959,"[255.74, 498.54, 529.89, 533.6, 641.67]","[451.31, 268.25, 269.19, 451.33, 470.2]",C6,1.52,No peak overlap detected.,No potential conflicts found.
Impurity8,,0.0,0.0,0,1.0111,"[219.28, 233.33, 265.31, 278.34, 296.92]","[350.41, 354.32, 355.31, 459.33, 303.22]",C7,61.77,No peak overlap detected.,No potential conflicts found.
Impurity9,,0.0,0.0,0,1.0611,"[455.12, 240.96, 247.07, 265.47, 287.0]","[180.18, 356.33, 258.24, 258.26, 354.31]",B10,28.77,No peak overlap detected.,<strong>The compound was found to have a similar retention time as Reactant1. The user should check this result manually.</strong>
Impurity10,,0.0,0.0,0,1.1261,"[211.25, 212.2, 213.18, 221.57, 235.18]","[354.31, 355.33, 317.28, 274.21, 507.29]",A12,16.2,No peak overlap detected.,No potential conflicts found.
Impurity11,,0.0,0.0,0,1.1507,"[156.14, 166.1, 174.57, 179.08, 194.93]","[352.31, 231.28, 280.19, 311.29, 312.29]",B6,8.92,No peak overlap detected.,No potential conflicts found.
Impurity12,,0.0,0.0,0,1.2757,"[212.18, 218.52, 228.99, 236.45, 244.67]","[558.21, 184.3, 231.2, 254.35, 264.28]",B1,16.29,No peak overlap detected.,No potential conflicts found.
Impurity13,,0.0,0.0,0,1.4094,"[408.23, 219.23, 233.35, 215.3, 217.11]","[296.23, 296.24, 439.4, 438.36, 439.37]",A10,22.14,No peak overlap detected.,No potential conflicts found.
Impurity14,,0.0,0.0,0,1.6515,"[169.22, 205.84, 207.69, 216.76, 233.15]","[483.43, 484.43, 484.44, 503.43, 628.58]",B2,7.53,No peak overlap detected.,No potential conflicts found.
