well_no,Well,canonSMILES,SMarea,SMareaAbs,Parea,PareaAbs,STDarea,STDareaAbs,Uarea,UareaAbs,corrSMarea,corrParea,corrSTDarea,P/SM+P,P/STD,phenol bparea,phenol bpareaAbs,corrphenol bparea,phenol bp/STD,corrP/STD,corrP/SM+P,SampleID
1,A1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,9.68,144698.4688,90.32,1350138.3516,0.0,0.0,0.41527241527241526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,A2,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,7.71,157452.1875,87.21000000000001,1781177.5567,0.0,0.0,0.3307593307593308,0.0,0.0,5.08,103736.3594,0.1998426435877262,0.66,0.0,0.0,2
3,A3,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.87,58236.9141,7.94,161379.5938,89.19,1812022.2462,0.0,0.04070344631967097,0.3406263406263407,1.0,0.36,0.0,0.0,0.0,0.0,0.01679888007466169,1.0,3
4,A4,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,1.12,20577.1152,8.4,153754.4063,90.47999999999999,1656819.1681,0.0,0.015884271734505743,0.3603603603603604,1.0,0.13,0.0,0.0,0.0,0.0,0.006066262249183388,1.0,4
5,A5,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,3.16,80656.7188,6.16,157518.8438,65.26,1668448.8887,0.0,0.04481633810806978,0.2642642642642643,1.0,0.51,25.42,649774.125,1.0,4.13,0.02379841343910406,1.0,5
6,A6,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,3.04,61343.5,7.25,146498.4531,89.71,1813118.4922,0.0,0.0431144518508013,0.31102531102531106,1.0,0.42,0.0,0.0,0.0,0.0,0.019598693420438636,1.0,6
7,A7,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,1.42,29389.7715,8.52,175801.1719,90.06,1858824.5702999998,0.0,0.02013898737767692,0.3655083655083655,1.0,0.17,0.0,0.0,0.0,0.0,0.007932804479701353,1.0,7
8,A8,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,7.32,177540.8125,85.03,2061733.9804999996,0.0,0.0,0.31402831402831405,0.0,0.0,7.65,185577.8281,0.3009441384736428,1.05,0.0,0.0,8
9,A9,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,8.1,190052.9844,91.9,2157572.9357,0.0,0.0,0.3474903474903475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
10,A10,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,3.9,99439.3203,7.07,180252.5313,84.79,2161427.8515000003,0.0,0.055311303361225354,0.30330330330330335,1.0,0.55,4.24,108043.6563,0.16679779701022818,0.6,0.025664955669622028,1.0,10
11,A11,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,6.26,157190.75,6.98,175428.75,64.49999999999999,1619915.5469,0.0,0.08878173308750531,0.2994422994422995,1.0,0.9,22.26,559192.375,0.8756884343036979,3.19,0.041997200186654225,1.0,11
12,A12,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.84,17677.8691,7.97,167856.25,91.19,1919793.1759,0.0,0.011913203800879306,0.34191334191334194,1.0,0.11,0.0,0.0,0.0,0.0,0.005132991133924405,1.0,12
13,B1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,1.35,20660.1016,10.0,153357.0156,88.65,1358927.6583,0.0,0.019146220394270316,0.429000429000429,1.0,0.13,0.0,0.0,0.0,0.0,0.006066262249183388,1.0,13
14,B2,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,10.27,166949.9844,9.2,149645.25,80.53,1309368.0509000001,0.0,0.14565309885122676,0.3946803946803947,1.0,1.12,0.0,0.0,0.0,0.0,0.05226318245450304,1.0,14
15,B3,OCc1coc(-c2cnc3ccccc3c2)n1,19.28,343796.0,9.41,167854.4688,8.61,153479.8594,62.7,1118072.3555000003,0.3115204394894167,0.13345624734080272,0.36936936936936937,0.33,1.09,0.0,0.0,0.0,0.0,0.050863275781614564,0.33,15
16,B4,OCc1coc(-c2cnc3ccccc3c2)n1,48.92,1022946.8125,21.66,452925.75,7.04,147255.5625,22.380000000000003,467763.5118,0.790434642106964,0.30719046943695927,0.30201630201630203,0.31,3.08,0.0,0.0,0.0,0.0,0.14372375174988333,0.31,16
17,B5,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.21,52108.6484,6.06,142903.0,91.73,2163980.6133000003,0.0,0.03134307190469437,0.25997425997426,1.0,0.36,0.0,0.0,0.0,0.0,0.01679888007466169,1.0,17
18,B6,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,5.19,91480.8984,8.05,141940.625,86.76,1530876.1445999998,0.0,0.07360658062686144,0.3453453453453454,1.0,0.64,0.0,0.0,0.0,0.0,0.029864675688287448,1.0,18
19,B7,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,7.21,163758.7813,68.73,1562003.9669000003,0.0,0.0,0.30930930930930933,0.0,0.0,24.06,546705.875,0.9464988198269079,3.34,0.0,0.0,19
20,B8,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,6.39,170191.5313,73.25999999999999,1949987.2657999997,0.0,0.0,0.27413127413127414,0.0,0.0,20.35,541544.625,0.8005507474429583,3.18,0.0,0.0,20
21,B9,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.6,13367.4609,6.88,152646.6719,72.47000000000001,1608568.3087,0.0,0.008509431286342363,0.2951522951522952,1.0,0.09,20.05,445105.375,0.7887490165224232,2.92,0.004199720018665422,1.0,21
22,B10,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,12.83,307416.3438,6.68,159951.2031,80.49000000000001,1928879.6896000002,0.0,0.18196000567295417,0.28657228657228656,1.0,1.92,0.0,0.0,0.0,0.0,0.08959402706486234,1.0,22
23,B11,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,3.82,71502.0938,7.84,146780.4063,88.34,1654037.3749000002,0.0,0.05417671252304637,0.33633633633633636,1.0,0.49,0.0,0.0,0.0,0.0,0.022865142323845077,1.0,23
24,B12,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,5.77,115359.6406,8.49,169570.2344,85.74000000000001,1713202.2969,0.0,0.08183236420365904,0.36422136422136425,1.0,0.68,0.0,0.0,0.0,0.0,0.03173121791880541,1.0,24
25,C1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.29,82057.4688,4.21,151102.9375,93.5,3351963.3926,0.0,0.03247766274287335,0.18060918060918063,1.0,0.54,0.0,0.0,0.0,0.0,0.025198320111992537,1.0,25
26,C2,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,52.99,2103909.0,3.4,134966.5,43.61,1731313.6053999998,0.0,0.751524606438803,0.14586014586014587,1.0,15.59,0.0,0.0,0.0,0.0,0.727484834344377,1.0,26
27,C3,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,16.24,546570.875,3.65,122871.2969,80.11,2695784.2891,0.0,0.23032194015033325,0.1565851565851566,1.0,4.45,0.0,0.0,0.0,0.0,0.20765282314512368,1.0,27
28,C4,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,3.1,101941.2266,4.06,133417.4844,92.84,3054273.1601,0.0,0.04396539497943554,0.17417417417417416,1.0,0.76,0.0,0.0,0.0,0.0,0.03546430237984134,1.0,28
29,C5,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.77,87445.2266,4.22,133047.9688,93.01,2935749.7929,0.0,0.03928520777194724,0.18103818103818103,1.0,0.66,0.0,0.0,0.0,0.0,0.03079794680354643,1.0,29
30,C6,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,26.19,889050.25,3.61,122489.0938,70.2,2383345.4825999998,0.0,0.37143667564884414,0.15486915486915487,1.0,7.26,0.0,0.0,0.0,0.0,0.33877741483901075,1.0,30
31,C7,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,7.78,283989.0625,3.83,139796.1094,88.39,3227215.2110000006,0.0,0.11033895901290597,0.16430716430716433,1.0,2.03,0.0,0.0,0.0,0.0,0.09472701819878673,1.0,31
32,C8,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.24,90372.2188,3.77,152268.2656,93.99000000000001,3795529.1016,0.0,0.031768543469011486,0.16173316173316174,1.0,0.59,0.0,0.0,0.0,0.0,0.02753149790013999,1.0,32
33,C9,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,9.87,339723.4375,4.83,166183.3438,85.3,2937574.1231,0.0,0.13998014466033185,0.20720720720720723,1.0,2.04,0.0,0.0,0.0,0.0,0.09519365375641624,1.0,33
34,C10,OCc1coc(-c2cnc3ccccc3c2)n1,61.89,1742499.5,7.82,220311.7969,4.66,131090.1406,25.630000000000006,721801.9687999999,1.0,0.11090625443199546,0.19991419991419992,0.11,1.68,0.0,0.0,0.0,0.0,0.07839477368175454,0.11,34
35,C11,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,5.02,170581.5313,4.56,154812.9844,90.42,3073253.7383999997,0.0,0.07119557509573109,0.1956241956241956,1.0,1.1,0.0,0.0,0.0,0.0,0.051329911339244055,1.0,35
36,C12,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,39.06,1367315.25,4.0,140157.875,56.94,1993501.9082,0.0,0.5539639767408878,0.1716001716001716,1.0,9.76,0.0,0.0,0.0,0.0,0.4554363042463836,1.0,36
37,D1,OCc1coc(-c2cnc3ccccc3c2)n1,32.44,963970.25,13.81,410360.9688,4.24,126069.3594,49.51,1471506.9219,0.5241557602197446,0.19585874344064672,0.18189618189618192,0.3,3.26,0.0,0.0,0.0,0.0,0.15212319178721417,0.3,37
38,D2,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.92,26729.0059,4.14,119728.3203,94.94,2746004.0077,0.0,0.013047794639058289,0.1776061776061776,1.0,0.22,0.0,0.0,0.0,0.0,0.01026598226784881,1.0,38
39,D3,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,65.38,2115646.75,3.79,122722.2656,30.830000000000005,997476.0469999998,0.0,0.9272443625017727,0.1625911625911626,1.0,17.24,0.0,0.0,0.0,0.0,0.8044797013532431,1.0,39
40,D4,OCc1coc(-c2cnc3ccccc3c2)n1,42.41,1112584.375,36.1,946945.375,4.7,123221.6719,16.790000000000003,440525.58989999996,0.6852480206818549,0.5119841157282655,0.20163020163020165,0.46,7.68,0.0,0.0,0.0,0.0,0.3583761082594494,0.46,40
41,D5,OCc1coc(-c2cnc3ccccc3c2)n1,28.51,754545.125,1.32,34971.3789,4.12,108954.5313,66.05,1748277.5713999998,0.46065600258523187,0.0187207488299532,0.17674817674817675,0.04,0.32,0.0,0.0,0.0,0.0,0.014932337844143724,0.04,41
42,D6,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,70.51,2559771.5,3.29,119473.0938,26.199999999999996,950895.7461,0.0,1.0,0.14114114114114115,1.0,21.43,0.0,0.0,0.0,0.0,1.0,1.0,42
43,D7,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.9,32845.7461,3.88,141127.5469,95.22,3464384.2676,0.0,0.012764146929513543,0.16645216645216646,1.0,0.23,0.0,0.0,0.0,0.0,0.010732617825478302,1.0,43
44,D8,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,49.63,1510448.25,4.37,133063.875,44.7,1360487.4257999999,0.0,0.7038717912352858,0.18747318747318747,1.0,11.35,1.3,39710.7305,0.05114083398898505,0.3,0.5296313579094727,1.0,44
45,D9,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,4.96,163229.0625,4.65,152896.5469,90.39,2974521.9317000005,0.0,0.07034463196709687,0.19948519948519952,1.0,1.07,0.0,0.0,0.0,0.0,0.04993000466635558,1.0,45
