well_ID,Reaction_ID,analyte_smiles,analyte_class,data_entry,data_type,data_units,data_description
A1,SAW2140-6-A1-A1,Brc1cnc2ccccc2c1,limiting reactant,0,Retention Time,min,Time at which compound elutes
A1,SAW2140-6-A1-A1,Brc1cnc2ccccc2c1,limiting reactant,0,ES+,Da/Q,Positive m/z
A1,SAW2140-6-A1-A1,Brc1cnc2ccccc2c1,limiting reactant,0,ES-,Da/Q,Negative m/z
A1,SAW2140-6-A1-A1,Brc1cnc2ccccc2c1,limiting reactant,0,Percentage Area,%,LCMS UV Peak percentage area
A1,SAW2140-6-A1-A1,Brc1cnc2ccccc2c1,limiting reactant,0,Area Absolute,AU,LCMS UV Peak absolute area
A1,SAW2140-6-A1-A1,Brc1cnc2ccccc2c1,limiting reactant,10,Expected Amount,umol,Amount of analyte expected in plate.
A1,SAW2140-6-A1-A1,C1COCCO1,solvent1,100,Expected Amount,uL,Amount of analyte expected in plate.
A1,SAW2140-6-A1-A1,C1COCCO1,solvent1,123-91-1,Analyte ID,N/A,ID of analyte in well.
A1,SAW2140-6-A1-A1,C1COCCO1,solvent1,Dioxane,Analyte Name,N/A,Name of analyte in well.
A1,SAW2140-6-A1-A1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N,catalyst,1,Expected Amount,umol,Amount of analyte expected in plate.
A1,SAW2140-6-A1-A1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N,catalyst,1445085-55-1,Analyte ID,N/A,ID of analyte in well.
A1,SAW2140-6-A1-A1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N,catalyst,XPhos Pd G3,Analyte Name,N/A,Name of analyte in well.
A1,SAW2140-6-A1-A1,CSC.[Cu]Br,catalyst,0.1,Expected Amount,umol,Amount of analyte expected in plate.
A1,SAW2140-6-A1-A1,CSC.[Cu]Br,catalyst,54678-23-8,Analyte ID,N/A,ID of analyte in well.
A1,SAW2140-6-A1-A1,Impurity10,impurity,1.1278,Retention Time,min,Time at which compound elutes
A1,SAW2140-6-A1-A1,Impurity10,impurity,0,ES+,Da/Q,Positive m/z
A1,SAW2140-6-A1-A1,Impurity10,impurity,0,ES-,Da/Q,Negative m/z
A1,SAW2140-6-A1-A1,Impurity10,impurity,15.91,Percentage Area,%,LCMS UV Peak percentage area
A1,SAW2140-6-A1-A1,Impurity10,impurity,237755.375,Area Absolute,AU,LCMS UV Peak absolute area
A1,SAW2140-6-A1-A1,Impurity2,impurity,0,Retention Time,min,Time at which compound elutes
A1,SAW2140-6-A1-A1,Impurity2,impurity,0,ES+,Da/Q,Positive m/z
A1,SAW2140-6-A1-A1,Impurity2,impurity,0,ES-,Da/Q,Negative m/z
A1,SAW2140-6-A1-A1,Impurity2,impurity,0,Percentage Area,%,LCMS UV Peak percentage area
A1,SAW2140-6-A1-A1,Impurity2,impurity,0,Area Absolute,AU,LCMS UV Peak absolute area
A1,SAW2140-6-A1-A1,Impurity5,impurity,0.7869,Retention Time,min,Time at which compound elutes
A1,SAW2140-6-A1-A1,Impurity5,impurity,0,ES+,Da/Q,Positive m/z
A1,SAW2140-6-A1-A1,Impurity5,impurity,0,ES-,Da/Q,Negative m/z
A1,SAW2140-6-A1-A1,Impurity5,impurity,70.55,Percentage Area,%,LCMS UV Peak percentage area
A1,SAW2140-6-A1-A1,Impurity5,impurity,1054612.5,Area Absolute,AU,LCMS UV Peak absolute area
A1,SAW2140-6-A1-A1,O=C([O-])[O-].[Cs+].[Cs+],base,20,Expected Amount,umol,Amount of analyte expected in plate.
A1,SAW2140-6-A1-A1,O=C([O-])[O-].[Cs+].[Cs+],base,534-17-8,Analyte ID,N/A,ID of analyte in well.
A1,SAW2140-6-A1-A1,O=C([O-])[O-].[Cs+].[Cs+],base,Cesium Carbonate,Analyte Name,N/A,Name of analyte in well.
A1,SAW2140-6-A1-A1,OCc1coc(-c2cnc3ccccc3c2)n1,desired product,0,Retention Time,min,Time at which compound elutes
A1,SAW2140-6-A1-A1,OCc1coc(-c2cnc3ccccc3c2)n1,desired product,0,ES+,Da/Q,Positive m/z
A1,SAW2140-6-A1-A1,OCc1coc(-c2cnc3ccccc3c2)n1,desired product,0,ES-,Da/Q,Negative m/z
A1,SAW2140-6-A1-A1,OCc1coc(-c2cnc3ccccc3c2)n1,desired product,0,Percentage Area,%,LCMS UV Peak percentage area
A1,SAW2140-6-A1-A1,OCc1coc(-c2cnc3ccccc3c2)n1,desired product,0,Area Absolute,AU,LCMS UV Peak absolute area
A1,SAW2140-6-A1-A1,OCc1coc(-c2cnc3ccccc3c2)n1,desired product,10,Expected Amount,umol,Amount of analyte expected in plate.
A1,SAW2140-6-A1-A1,OCc1cocn1,excess reactant,11,Expected Amount,umol,Amount of analyte expected in plate.
A1,SAW2140-6-A1-A1,Oc1cnc2ccccc2c1,byproduct,0,Retention Time,min,Time at which compound elutes
A1,SAW2140-6-A1-A1,Oc1cnc2ccccc2c1,byproduct,0,ES+,Da/Q,Positive m/z
A1,SAW2140-6-A1-A1,Oc1cnc2ccccc2c1,byproduct,0,ES-,Da/Q,Negative m/z
A1,SAW2140-6-A1-A1,Oc1cnc2ccccc2c1,byproduct,0,Percentage Area,%,LCMS UV Peak percentage area
A1,SAW2140-6-A1-A1,Oc1cnc2ccccc2c1,byproduct,0,Area Absolute,AU,LCMS UV Peak absolute area
A1,SAW2140-6-A1-A1,Oc1cnc2ccccc2c1,byproduct,10,Expected Amount,umol,Amount of analyte expected in plate.
A1,SAW2140-6-A1-A1,Oc1cnc2ccccc2c1,byproduct,phenol bp,Analyte ID,N/A,ID of analyte in well.
A1,SAW2140-6-A1-A1,Oc1cnc2ccccc2c1,byproduct,phenol bp,Analyte Name,N/A,Name of analyte in well.
A1,SAW2140-6-A1-A1,Temperature,plate parameter,100,Temperature,C,Reaction temperature prior to analysis
A1,SAW2140-6-A1-A1,Time,plate parameter,18,Time,h,Reaction time prior to analysis.
