well_no,SampleID,Well,SMILES,canonSMILES,SMarea,SMareaAbs,Parea,PareaAbs,STDarea,STDareaAbs,Uarea,UareaAbs,corrSMarea,corrParea,corrSTDarea,P/SM+P,P/STD,phenol bparea,phenol bpareaAbs,corrphenol bparea,phenol bp/STD,corrphenol bp/STD,corrP/SM+P,corrP/STD
1,SAW2140-6-A1-A1,A1,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,9.68,144698.4688,0,0,0.0,0.0,0.41527241527241526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,SAW2140-6-A2-A1,A2,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,7.71,157452.1875,0,0,0.0,0.0,0.3307593307593308,0.0,0.0,5.08,103736.3594,0.1998426435877262,0.66,0.0,0.0,0.0
3,SAW2140-6-A3-A1,A3,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.87,58236.9141,7.94,161379.5938,0,0,0.0,0.04070344631967097,0.3406263406263407,1.0,0.36,0.0,0.0,0.0,0.0,0.15980629539951574,1.0,0.01679888007466169
4,SAW2140-6-A4-A1,A4,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,1.12,20577.1152,8.4,153754.4063,0,0,0.0,0.015884271734505743,0.3603603603603604,1.0,0.13,0.0,0.0,0.0,0.0,0.0,1.0,0.006066262249183388
5,SAW2140-6-A5-A1,A5,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,3.16,80656.7188,6.16,157518.8438,0,0,0.0,0.04481633810806978,0.2642642642642643,1.0,0.51,25.42,649774.125,1.0,4.13,0.0,1.0,0.02379841343910406
6,SAW2140-6-A6-A1,A6,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,3.04,61343.5,7.25,146498.4531,0,0,0.0,0.0431144518508013,0.31102531102531106,1.0,0.42,0.0,0.0,0.0,0.0,1.0,1.0,0.019598693420438636
7,SAW2140-6-A7-A1,A7,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,1.42,29389.7715,8.52,175801.1719,0,0,0.0,0.02013898737767692,0.3655083655083655,1.0,0.17,0.0,0.0,0.0,0.0,0.0,1.0,0.007932804479701353
8,SAW2140-6-A8-A1,A8,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,7.32,177540.8125,0,0,0.0,0.0,0.31402831402831405,0.0,0.0,7.65,185577.8281,0.3009441384736428,1.05,0.0,0.0,0.0
9,SAW2140-6-A9-A1,A9,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,8.1,190052.9844,0,0,0.0,0.0,0.3474903474903475,0.0,0.0,0.0,0.0,0.0,0.0,0.25423728813559326,0.0,0.0
10,SAW2140-6-A10-A1,A10,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,3.9,99439.3203,7.07,180252.5313,0,0,0.0,0.055311303361225354,0.30330330330330335,1.0,0.55,4.24,108043.6563,0.16679779701022818,0.6,0.0,1.0,0.025664955669622028
