well_no,SampleID,Well,SMILES,canonSMILES,SMarea,SMareaAbs,Parea,PareaAbs,STDarea,STDareaAbs,Uarea,UareaAbs,corrSMarea,corrParea,corrSTDarea,P/SM+P,P/STD,corrP/SM+P,corrP/STD
1,,A1,CCC,CCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,A2,CCCCN,CCCCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,A3,c1ccccc1O,Oc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,A4,c1ccccc1,c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,A5,CCCCCCCCN,CCCCCCCCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,A6,CC,CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,,A7,CCCNO,CCCNO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,A8,CCOCOC,CCOCOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,No Data.,A9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,No Data.,A10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,No Data.,A11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,No Data.,A12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,No Data.,B1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,No Data.,B2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,No Data.,B3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,No Data.,B4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,No Data.,B5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,No Data.,B6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,No Data.,B7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,No Data.,B8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,No Data.,B9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,No Data.,B10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,No Data.,B11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,No Data.,B12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,No Data.,C1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,No Data.,C2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,No Data.,C3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,No Data.,C4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,No Data.,C5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,No Data.,C6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,No Data.,C7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,No Data.,C8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,No Data.,C9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,No Data.,C10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,No Data.,C11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,No Data.,C12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,No Data.,D1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,No Data.,D2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,No Data.,D3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,No Data.,D4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,No Data.,D5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,No Data.,D6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,No Data.,D7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
