name,g_smiles,mass1,mass2,mass3,time,mass-,mass+,best_well,best_purity,overlaps,conflicts
Product1,ClC1=CC=C2C=CC(Br)=CC2=N1,240.93,242.93,0.0,1.23,-,243.94,A1,1.0,No peak overlap detected.,No potential conflicts found.
Product2,COC1=NC2=CC=C(Br)C=C2C=C1,236.98,238.98,0.0,1.3,-,240.05,A2,1.0,No peak overlap detected.,No potential conflicts found.
Product3,CCC1=CC=C2C=C(C=NC2=C1)C(O)=O,201.08,0.0,0.0,0.59,200.21,202.13,A3,1.0,No peak overlap detected.,No potential conflicts found.
Product4,CC1=CC(C)=C2C=CC(=CC2=N1)C(O)=O,201.08,0.0,0.0,0.55,200.05,202.16,A4,1.0,No peak overlap detected.,No potential conflicts found.
Product5,BrC1=CC=C2C=CC=C(Br)C2=N1,284.88,286.88,0.0,1.22,-,287.84,A5,0.9778239292476502,No peak overlap detected.,No potential conflicts found.
Product6,BrC1=CC=C2N=C(C=CC2=C1)C#N,231.96,233.96,0.0,0.0,-,-,None found.,0.0,N/A,No potential conflicts found.
Product7,ClC1=CC=NC2=CC=C(Br)C=C12,240.93,242.93,0.0,1.23,-,243.97,A7,1.0,No peak overlap detected.,No potential conflicts found.
Product8,N1C=C(C=N1)C1=NC2=CC=CC=C2C=C1,195.08,0.0,0.0,0.0,-,-,None found.,0.0,N/A,No potential conflicts found.
Product9,OC1=CC(OCC2=CC=CC=C2)=C2C=CC=CC2=N1,251.09,0.0,0.0,0.0,-,-,None found.,0.0,N/A,No potential conflicts found.
Product10,CN1CCN(CC1)C1=CC=NC2=CC=C(N)C=C12,242.15,0.0,0.0,0.67,-,243.23,A10,0.9875722160201629,No peak overlap detected.,No potential conflicts found.
Product11,FC(F)(F)C1=CC=C2C=CC=C(Br)C2=N1,274.96,276.96,0.0,1.26,-,277.95,A11,1.0,No peak overlap detected.,No potential conflicts found.
Product12,IC1=CC2=C(C=C1)N=CC=C2,254.95,0.0,0.0,0.0,-,-,None found.,0.0,N/A,No potential conflicts found.
Product13,CC(C)(C)OC(=O)N1CCN(CC1)C1=CC=C(Br)C=N1,341.07,285.01,241.02,1.32,-,342.09,B1,0.9622360792314235,No peak overlap detected.,No potential conflicts found.
Product14,CC(C)(C)OC(=O)N1CCN(CC1)C1=CC=NC2=C1C=CN2,302.17,246.11,202.12,0.0,-,-,None found.,0.0,N/A,No potential conflicts found.
Product15,CC(C)(C)OC(=O)N1CCN(CC1)C1=NC=C(Br)C=N1,342.07,286.01,242.02,1.32,-,287.0,B3,1.0,No peak overlap detected.,No potential conflicts found.
Product16,BrC1=CC2=CC=CC=C2N=C1,206.97,208.97,0.0,0.0,-,-,None found.,0.0,N/A,No potential conflicts found.
Product17,CC(C)(C)OC(=O)N1CCN(CC1C(O)=O)C(=O)OCC1C2=CC=CC=C2C2=CC=CC=C12,452.19,396.13,352.14,0.0,-,-,None found.,0.0,N/A,No potential conflicts found.
Product18,CC(C)(C)OC(=O)N1CCN(CC1)C1=CC=NC(Cl)=N1,298.12,242.06,198.07,1.28,-,243.12,B6,1.0,No peak overlap detected.,No potential conflicts found.
Product19,CC1=CC(=NC=C1Br)N1CCNCC1,255.04,257.04,0.0,0.0,-,-,None found.,0.0,N/A,No potential conflicts found.
Product20,BrC1=CC=C(Br)C2=C1C=CC=N2,284.88,286.88,0.0,1.18,-,287.86,B8,0.95947576308374,No peak overlap detected.,No potential conflicts found.
Product21,BrC1=CC=CN=C1N1CCOCC1,242.01,244.01,0.0,0.0,-,-,None found.,0.0,N/A,No potential conflicts found.
Product22,O=C(NC1=CC2=C(C=C1)N=CC=C2)NC1=CC2=C(C=C1)N=CC=C2,314.12,0.0,0.0,0.0,-,-,None found.,0.0,N/A,No potential conflicts found.
Product23,OC(=O)C1=CC(=CN=C1Cl)C(F)(F)F,224.98,226.98,0.0,0.43,224.1,-,B11,1.0,No peak overlap detected.,No potential conflicts found.
Product24,CN1CCN(CC1)C1=NC=C(Br)C=C1,255.04,257.04,0.0,0.0,-,-,None found.,0.0,N/A,No potential conflicts found.
